business_id,week_start_date,follower_count,engagement_rate,posts_count
BUS_0004,2025-06-03,3689,0.061,4
BUS_0004,2025-06-10,3728,0.071,9
BUS_0004,2025-06-17,3796,0.0696,7
BUS_0004,2025-06-24,3884,0.0716,7
BUS_0004,2025-07-01,3967,0.0686,3
BUS_0004,2025-07-08,4039,0.0882,5
BUS_0004,2025-07-15,4112,0.0678,1
BUS_0005,2024-07-23,902,0.0333,2
BUS_0005,2024-07-30,905,0.0361,0
BUS_0005,2024-08-06,899,0.0343,1
BUS_0005,2024-08-13,902,0.034,0
BUS_0005,2024-08-20,901,0.0357,3
BUS_0005,2024-08-27,906,0.0324,0
BUS_0005,2024-09-03,909,0.0285,2
BUS_0005,2024-09-10,905,0.0394,2
BUS_0005,2024-09-17,910,0.032,1
BUS_0005,2024-09-24,909,0.0337,2
BUS_0005,2024-10-01,913,0.0292,1
BUS_0005,2024-10-08,921,0.0314,2
BUS_0005,2024-10-15,925,0.0374,3
BUS_0005,2024-10-22,920,0.025,4
BUS_0005,2024-10-29,931,0.0297,1
BUS_0005,2024-11-05,931,0.0304,2
BUS_0005,2024-11-12,931,0.0403,3
BUS_0005,2024-11-19,935,0.0362,1
BUS_0005,2024-11-26,931,0.0233,5
BUS_0005,2024-12-03,936,0.0367,3
BUS_0005,2024-12-10,940,0.0205,1
BUS_0005,2024-12-17,937,0.0353,2
BUS_0005,2024-12-24,936,0.03,2
BUS_0005,2024-12-31,935,0.0421,0
BUS_0005,2025-01-07,933,0.0303,1
BUS_0005,2025-01-14,937,0.034,1
BUS_0005,2025-01-21,941,0.0331,1
BUS_0005,2025-01-28,934,0.0318,1
BUS_0005,2025-02-04,932,0.0314,3
BUS_0005,2025-02-11,931,0.0348,2
BUS_0005,2025-02-18,925,0.0267,2
BUS_0005,2025-02-25,922,0.0296,1
BUS_0005,2025-03-04,916,0.0297,1
BUS_0005,2025-03-11,913,0.0339,1
BUS_0005,2025-03-18,914,0.0326,2
BUS_0005,2025-03-25,917,0.032,1
BUS_0005,2025-04-01,922,0.0391,1
BUS_0005,2025-04-08,926,0.0348,1
BUS_0005,2025-04-15,921,0.0365,0
BUS_0005,2025-04-22,922,0.0266,1
BUS_0005,2025-04-29,920,0.0226,3
BUS_0005,2025-05-06,919,0.0319,0
BUS_0005,2025-05-13,922,0.0423,0
BUS_0005,2025-05-20,923,0.0338,0
BUS_0005,2025-05-27,930,0.0304,2
BUS_0005,2025-06-03,921,0.0358,0
BUS_0005,2025-06-10,914,0.0217,0
BUS_0005,2025-06-17,918,0.034,0
BUS_0005,2025-06-24,925,0.0332,0
BUS_0005,2025-07-01,919,0.0345,0
BUS_0005,2025-07-08,921,0.0293,0
BUS_0005,2025-07-15,923,0.0333,0
BUS_0006,2024-07-23,610,0.035,1
BUS_0006,2024-07-30,609,0.0285,1
BUS_0006,2024-08-06,610,0.028,0
BUS_0006,2024-08-13,611,0.0263,1
BUS_0006,2024-08-20,614,0.0296,1
BUS_0006,2024-08-27,614,0.0316,1
BUS_0006,2024-09-03,615,0.0298,0
BUS_0006,2024-09-10,616,0.0183,2
BUS_0006,2024-09-17,612,0.0303,1
BUS_0006,2024-09-24,611,0.0279,1
BUS_0006,2024-10-01,613,0.0349,0
BUS_0006,2024-10-08,618,0.0298,3
BUS_0006,2024-10-15,622,0.0404,0
BUS_0006,2024-10-22,625,0.0412,2
BUS_0006,2024-10-29,626,0.0323,1
BUS_0006,2024-11-05,628,0.0312,2
BUS_0006,2024-11-12,628,0.0357,2
BUS_0006,2024-11-19,629,0.0377,0
BUS_0006,2024-11-26,630,0.0301,2
BUS_0006,2024-12-03,630,0.0313,2
BUS_0006,2024-12-10,622,0.037,1
BUS_0006,2024-12-17,627,0.0309,1
BUS_0006,2024-12-24,624,0.0373,2
BUS_0006,2024-12-31,623,0.0301,4
BUS_0006,2025-01-07,623,0.0299,3
BUS_0006,2025-01-14,622,0.0216,2
BUS_0006,2025-01-21,622,0.026,1
BUS_0006,2025-01-28,625,0.0307,1
BUS_0006,2025-02-04,624,0.0215,1
BUS_0006,2025-02-11,626,0.0305,0
BUS_0006,2025-02-18,631,0.028,0
BUS_0006,2025-02-25,629,0.028,0
BUS_0006,2025-03-04,625,0.0314,0
BUS_0006,2025-03-11,624,0.0318,1
BUS_0006,2025-03-18,625,0.031,1
BUS_0006,2025-03-25,626,0.0295,1
BUS_0006,2025-04-01,629,0.0353,2
BUS_0006,2025-04-08,625,0.0279,2
BUS_0006,2025-04-15,629,0.0326,1
BUS_0006,2025-04-22,632,0.0267,2
BUS_0006,2025-04-29,636,,1
BUS_0006,2025-05-06,638,0.0251,0
BUS_0006,2025-05-13,640,0.0283,2
BUS_0006,2025-05-20,637,0.0327,0
BUS_0006,2025-05-27,637,0.0294,0
BUS_0006,2025-06-03,637,,2
BUS_0006,2025-06-10,637,0.0358,0
BUS_0006,2025-06-17,637,0.0321,0
BUS_0006,2025-06-24,633,0.0272,1
BUS_0006,2025-07-01,633,0.0355,0
BUS_0006,2025-07-08,636,0.0394,2
BUS_0006,2025-07-15,641,0.022,1
BUS_0007,2024-07-23,1201,0.0496,1
BUS_0007,2024-07-30,1217,0.0478,7
BUS_0007,2024-08-06,1222,0.0548,4
BUS_0007,2024-08-13,1235,0.0481,2
BUS_0007,2024-08-20,1244,0.0446,2
BUS_0007,2024-08-27,1243,0.0441,2
BUS_0007,2024-09-03,1243,0.0453,1
BUS_0007,2024-09-10,1239,0.0477,2
BUS_0007,2024-09-17,1247,,2
BUS_0007,2024-09-24,1257,0.0426,2
BUS_0007,2024-10-01,1254,0.0387,1
BUS_0007,2024-10-08,1269,0.0476,2
BUS_0007,2024-10-15,1277,0.0448,3
BUS_0007,2024-10-22,1282,0.0474,2
BUS_0007,2024-10-29,1292,0.0452,4
BUS_0007,2024-11-05,1305,,1
BUS_0007,2024-11-12,1318,0.0441,2
BUS_0007,2024-11-19,1334,0.0528,5
BUS_0007,2024-11-26,1339,0.0459,4
BUS_0007,2024-12-03,1352,0.0414,2
BUS_0007,2024-12-10,1359,0.0437,2
BUS_0007,2024-12-17,1356,0.0554,2
BUS_0007,2024-12-24,1362,0.0564,5
BUS_0007,2024-12-31,1371,,2
BUS_0007,2025-01-07,1377,0.0399,3
BUS_0007,2025-01-14,1379,0.0432,6
BUS_0007,2025-01-21,1390,0.0383,2
BUS_0007,2025-01-28,1404,0.0501,3
BUS_0007,2025-02-04,1414,0.0532,2
BUS_0007,2025-02-11,1419,0.0396,0
BUS_0007,2025-02-18,1420,0.0486,3
BUS_0007,2025-02-25,1444,0.0483,4
BUS_0007,2025-03-04,1448,0.0411,3
BUS_0007,2025-03-11,1464,0.0495,5
BUS_0007,2025-03-18,1473,0.0475,2
BUS_0007,2025-03-25,1479,0.0466,1
BUS_0007,2025-04-01,1480,0.0476,0
BUS_0007,2025-04-08,1485,0.0414,3
BUS_0007,2025-04-15,1498,0.0523,0
BUS_0007,2025-04-22,1520,0.0314,6
BUS_0007,2025-04-29,1528,0.0522,4
BUS_0007,2025-05-06,1548,,5
BUS_0007,2025-05-13,1548,0.0423,4
BUS_0007,2025-05-20,1556,0.0429,2
BUS_0007,2025-05-27,1575,0.0419,1
BUS_0007,2025-06-03,1583,0.039,3
BUS_0007,2025-06-10,1576,0.0515,2
BUS_0007,2025-06-17,1597,0.0564,6
BUS_0007,2025-06-24,1601,0.0523,1
BUS_0007,2025-07-01,1613,0.0409,1
BUS_0007,2025-07-08,1609,0.0353,2
BUS_0007,2025-07-15,1624,0.0641,4
BUS_0008,2024-07-23,110,0.0083,0
BUS_0008,2024-07-30,108,0.0082,0
BUS_0008,2024-08-06,107,0.009,0
BUS_0008,2024-08-13,107,0.0095,0
BUS_0008,2024-08-20,105,0.0094,0
BUS_0008,2024-08-27,104,0.0107,1
BUS_0008,2024-09-03,103,0.0086,1
BUS_0008,2024-09-10,102,0.008,0
BUS_0008,2024-09-17,101,0.0089,0
BUS_0008,2024-09-24,101,0.0098,0
BUS_0008,2024-10-01,100,0.0085,0
BUS_0008,2024-10-08,100,0.0095,0
BUS_0008,2024-10-15,98,0.0078,0
BUS_0008,2024-10-22,97,0.0095,0
BUS_0008,2024-10-29,97,0.0071,1
BUS_0008,2024-11-05,96,0.0117,0
BUS_0008,2024-11-12,94,0.0095,0
BUS_0008,2024-11-19,94,0.0083,0
BUS_0008,2024-11-26,92,0.0094,0
BUS_0008,2024-12-03,91,0.0083,0
BUS_0008,2024-12-10,91,0.0086,0
BUS_0008,2024-12-17,90,0.0095,0
BUS_0008,2024-12-24,89,,0
BUS_0008,2024-12-31,88,0.0087,0
BUS_0008,2025-01-07,87,0.0103,0
BUS_0008,2025-01-14,86,0.0096,0
BUS_0008,2025-01-21,86,0.0091,0
BUS_0008,2025-01-28,85,0.0072,0
BUS_0008,2025-02-04,83,0.0088,0
BUS_0008,2025-02-11,82,0.0095,0
BUS_0008,2025-02-18,82,0.0103,0
BUS_0008,2025-02-25,81,0.0086,0
BUS_0008,2025-03-04,80,0.0079,0
BUS_0008,2025-03-11,79,0.0081,0
BUS_0008,2025-03-18,78,0.0091,0
BUS_0008,2025-03-25,78,0.0064,0
BUS_0008,2025-04-01,77,0.0078,0
BUS_0008,2025-04-08,76,0.0116,2
BUS_0008,2025-04-15,76,0.0081,0
BUS_0008,2025-04-22,74,0.0075,2
BUS_0008,2025-04-29,73,0.0075,0
BUS_0008,2025-05-06,73,0.0101,1
BUS_0008,2025-05-13,72,0.0107,1
BUS_0008,2025-05-20,71,0.0089,0
BUS_0008,2025-05-27,71,0.0101,1
BUS_0008,2025-06-03,70,0.0095,0
BUS_0008,2025-06-10,70,0.0084,0
BUS_0008,2025-06-17,69,0.0097,0
BUS_0008,2025-06-24,69,0.0081,0
BUS_0008,2025-07-01,68,0.0074,0
BUS_0008,2025-07-08,67,0.007,0
BUS_0008,2025-07-15,66,0.0112,0
BUS_0009,2024-07-23,393,0.0197,2
BUS_0009,2024-07-30,389,0.0152,3
BUS_0009,2024-08-06,390,0.0194,0
BUS_0009,2024-08-13,393,0.0215,1
BUS_0009,2024-08-20,393,0.0162,1
BUS_0009,2024-08-27,397,0.0202,0
BUS_0009,2024-09-03,393,0.0154,0
BUS_0009,2024-09-10,391,0.0169,1
BUS_0009,2024-09-17,387,0.0209,0
BUS_0009,2024-09-24,382,0.0228,2
BUS_0009,2024-10-01,379,0.0224,2
BUS_0009,2024-10-08,375,0.0265,1
BUS_0009,2024-10-15,376,,1
BUS_0009,2024-10-22,374,0.0232,0
BUS_0009,2024-10-29,374,0.017,2
BUS_0009,2024-11-05,372,0.0241,0
BUS_0009,2024-11-12,369,0.0189,1
BUS_0009,2024-11-19,369,0.0221,0
BUS_0009,2024-11-26,368,0.0214,1
BUS_0009,2024-12-03,367,0.0244,1
BUS_0009,2024-12-10,366,0.0199,1
BUS_0009,2024-12-17,364,0.0255,1
BUS_0009,2024-12-24,364,0.0214,0
BUS_0009,2024-12-31,366,0.0232,1
BUS_0009,2025-01-07,361,0.0208,0
BUS_0009,2025-01-14,361,0.0213,1
BUS_0009,2025-01-21,360,0.0236,1
BUS_0009,2025-01-28,360,0.0259,1
BUS_0009,2025-02-04,363,0.0192,0
BUS_0009,2025-02-11,360,0.0249,0
BUS_0009,2025-02-18,360,0.019,2
BUS_0009,2025-02-25,359,0.0205,0
BUS_0009,2025-03-04,358,0.0291,1
BUS_0009,2025-03-11,356,0.0168,2
BUS_0009,2025-03-18,352,0.0244,2
BUS_0009,2025-03-25,350,0.0229,0
BUS_0009,2025-04-01,349,0.0267,0
BUS_0009,2025-04-08,346,0.029,0
BUS_0009,2025-04-15,342,0.0216,0
BUS_0009,2025-04-22,339,0.0225,0
BUS_0009,2025-04-29,341,0.0244,0
BUS_0009,2025-05-06,341,0.0205,0
BUS_0009,2025-05-13,338,0.0168,0
BUS_0009,2025-05-20,334,0.0201,0
BUS_0009,2025-05-27,333,0.0235,2
BUS_0009,2025-06-03,330,0.0185,0
BUS_0009,2025-06-10,328,0.0248,0
BUS_0009,2025-06-17,326,0.0237,0
BUS_0009,2025-06-24,324,0.0191,1
BUS_0009,2025-07-01,324,0.0167,0
BUS_0009,2025-07-08,320,0.0183,0
BUS_0009,2025-07-15,319,0.0271,0
BUS_0010,2024-07-23,432,0.0232,0
BUS_0010,2024-07-30,433,0.0215,0
BUS_0010,2024-08-06,439,0.0232,1
BUS_0010,2024-08-13,435,0.0175,1
BUS_0010,2024-08-20,434,0.0203,0
BUS_0010,2024-08-27,433,0.0161,1
BUS_0010,2024-09-03,431,0.0222,1
BUS_0010,2024-09-10,433,0.0254,2
BUS_0010,2024-09-17,428,0.0254,0
BUS_0010,2024-09-24,426,0.0206,1
BUS_0010,2024-10-01,426,0.0205,1
BUS_0010,2024-10-08,425,0.0301,1
BUS_0010,2024-10-15,421,0.0205,0
BUS_0010,2024-10-22,420,0.0233,1
BUS_0010,2024-10-29,420,0.0241,2
BUS_0010,2024-11-05,416,0.0229,2
BUS_0010,2024-11-12,416,0.0227,3
BUS_0010,2024-11-19,413,0.023,3
BUS_0010,2024-11-26,418,0.0252,0
BUS_0010,2024-12-03,419,,0
BUS_0010,2024-12-10,421,0.0278,0
BUS_0010,2024-12-17,421,0.0228,1
BUS_0010,2024-12-24,421,0.0238,2
BUS_0010,2024-12-31,425,0.0221,1
BUS_0010,2025-01-07,418,0.0234,3
BUS_0010,2025-01-14,415,0.0282,0
BUS_0010,2025-01-21,410,0.0251,1
BUS_0010,2025-01-28,410,,0
BUS_0010,2025-02-04,412,0.0274,1
BUS_0010,2025-02-11,414,0.0248,1
BUS_0010,2025-02-18,412,0.017,0
BUS_0010,2025-02-25,410,0.0163,1
BUS_0010,2025-03-04,411,0.0251,2
BUS_0010,2025-03-11,410,0.0221,1
BUS_0010,2025-03-18,405,0.0317,0
BUS_0010,2025-03-25,402,0.0218,0
BUS_0010,2025-04-01,399,0.0237,0
BUS_0010,2025-04-08,397,0.0238,1
BUS_0010,2025-04-15,394,0.0182,1
BUS_0010,2025-04-22,392,0.0228,1
BUS_0010,2025-04-29,389,0.0279,0
BUS_0010,2025-05-06,390,0.0264,0
BUS_0010,2025-05-13,387,0.0176,0
BUS_0010,2025-05-20,384,0.0252,0
BUS_0010,2025-05-27,381,0.0221,0
BUS_0010,2025-06-03,377,0.0209,0
BUS_0010,2025-06-10,377,,0
BUS_0010,2025-06-17,376,0.0287,1
BUS_0010,2025-06-24,373,0.0209,0
BUS_0010,2025-07-01,372,0.0183,0
BUS_0010,2025-07-08,368,0.0189,0
BUS_0010,2025-07-15,366,0.0232,1
BUS_0011,2024-07-23,1704,0.0664,5
BUS_0011,2024-07-30,1718,0.0704,2
BUS_0011,2024-08-06,1730,0.0586,4
BUS_0011,2024-08-13,1753,0.0652,6
BUS_0011,2024-08-20,1782,0.0766,4
BUS_0011,2024-08-27,1807,0.0782,4
BUS_0011,2024-09-03,1839,0.0679,3
BUS_0011,2024-09-10,1860,0.0798,3
BUS_0011,2024-09-17,1884,0.0662,6
BUS_0011,2024-09-24,1906,0.0788,4
BUS_0011,2024-10-01,1948,0.05,3
BUS_0011,2024-10-08,1981,0.0626,4
BUS_0011,2024-10-15,2020,0.0558,2
BUS_0011,2024-10-22,2055,0.0705,3
BUS_0011,2024-10-29,2082,0.0656,6
BUS_0011,2024-11-05,2113,0.0688,5
BUS_0011,2024-11-12,2134,0.075,5
BUS_0011,2024-11-19,2150,0.0783,3
BUS_0011,2024-11-26,2182,0.0737,1
BUS_0011,2024-12-03,2209,0.0638,2
BUS_0011,2024-12-10,2264,0.0535,4
BUS_0011,2024-12-17,2309,0.049,4
BUS_0011,2024-12-24,2353,0.0554,8
BUS_0011,2024-12-31,2385,0.0714,1
BUS_0011,2025-01-07,2424,0.081,4
BUS_0011,2025-01-14,2452,0.0713,1
BUS_0011,2025-01-21,2495,0.0605,5
BUS_0011,2025-01-28,2546,0.0763,9
BUS_0011,2025-02-04,2616,0.0793,1
BUS_0011,2025-02-11,2642,0.0585,5
BUS_0011,2025-02-18,2707,,1
BUS_0011,2025-02-25,2752,0.0699,5
BUS_0011,2025-03-04,2793,0.0595,6
BUS_0011,2025-03-11,2825,0.0636,3
BUS_0011,2025-03-18,2867,0.071,0
BUS_0011,2025-03-25,2927,0.0725,4
BUS_0011,2025-04-01,2970,0.0612,5
BUS_0011,2025-04-08,2998,0.0608,1
BUS_0011,2025-04-15,3067,0.0502,3
BUS_0011,2025-04-22,3116,,0
BUS_0011,2025-04-29,3171,0.0819,4
BUS_0011,2025-05-06,3202,0.0789,5
BUS_0011,2025-05-13,3277,0.0561,6
BUS_0011,2025-05-20,3334,0.0671,3
BUS_0011,2025-05-27,3407,0.0629,6
BUS_0011,2025-06-03,3422,0.0463,5
BUS_0011,2025-06-10,3465,,3
BUS_0011,2025-06-17,3531,0.0584,3
BUS_0011,2025-06-24,3588,0.0648,5
BUS_0011,2025-07-01,3665,0.0798,2
BUS_0011,2025-07-08,3731,0.0711,3
BUS_0011,2025-07-15,3790,0.0755,5
BUS_0012,2024-07-23,833,0.0316,1
BUS_0012,2024-07-30,843,0.0406,5
BUS_0012,2024-08-06,842,0.0406,4
BUS_0012,2024-08-13,848,0.0309,3
BUS_0012,2024-08-20,847,0.0396,3
BUS_0012,2024-08-27,859,0.0414,1
BUS_0012,2024-09-03,863,0.0513,2
BUS_0012,2024-09-10,866,0.0386,1
BUS_0012,2024-09-17,874,0.0418,3
BUS_0012,2024-09-24,874,0.0427,1
BUS_0012,2024-10-01,880,0.0451,2
BUS_0012,2024-10-08,882,0.034,0
BUS_0012,2024-10-15,888,0.0402,0
BUS_0012,2024-10-22,896,0.0563,2
BUS_0012,2024-10-29,900,0.0422,1
BUS_0012,2024-11-05,903,0.0338,3
BUS_0012,2024-11-12,916,0.0436,2
BUS_0012,2024-11-19,923,0.0416,1
BUS_0012,2024-11-26,925,0.0448,1
BUS_0012,2024-12-03,918,0.039,1
BUS_0012,2024-12-10,924,0.0411,0
BUS_0012,2024-12-17,923,0.0381,1
BUS_0012,2024-12-24,928,0.0473,1
BUS_0012,2024-12-31,932,0.0385,2
BUS_0012,2025-01-07,934,0.0379,1
BUS_0012,2025-01-14,933,0.0415,2
BUS_0012,2025-01-21,930,0.0434,2
BUS_0012,2025-01-28,925,0.0445,4
BUS_0012,2025-02-04,928,0.0406,3
BUS_0012,2025-02-11,930,0.0418,3
BUS_0012,2025-02-18,936,0.0439,4
BUS_0012,2025-02-25,943,0.0458,1
BUS_0012,2025-03-04,948,0.0403,2
BUS_0012,2025-03-11,952,0.0428,3
BUS_0012,2025-03-18,958,0.0367,2
BUS_0012,2025-03-25,971,0.0363,1
BUS_0012,2025-04-01,979,0.0452,2
BUS_0012,2025-04-08,978,0.0337,0
BUS_0012,2025-04-15,978,0.0342,0
BUS_0012,2025-04-22,987,0.0437,2
BUS_0012,2025-04-29,988,0.0369,2
BUS_0012,2025-05-06,996,0.0491,1
BUS_0012,2025-05-13,999,0.0408,2
BUS_0012,2025-05-20,999,0.0314,4
BUS_0012,2025-05-27,1009,0.0408,4
BUS_0012,2025-06-03,1016,0.0368,5
BUS_0012,2025-06-10,1018,0.0402,0
BUS_0012,2025-06-17,1019,0.0338,2
BUS_0012,2025-06-24,1024,0.0423,1
BUS_0012,2025-07-01,1017,0.0352,0
BUS_0012,2025-07-08,1024,0.0389,1
BUS_0012,2025-07-15,1025,0.0398,2
BUS_0013,2024-07-23,580,0.036,0
BUS_0013,2024-07-30,579,0.0295,1
BUS_0013,2024-08-06,579,0.0362,0
BUS_0013,2024-08-13,580,0.027,3
BUS_0013,2024-08-20,578,0.0391,3
BUS_0013,2024-08-27,576,0.0324,0
BUS_0013,2024-09-03,574,0.0289,1
BUS_0013,2024-09-10,572,0.0306,3
BUS_0013,2024-09-17,568,0.0294,1
BUS_0013,2024-09-24,567,0.0316,2
BUS_0013,2024-10-01,574,0.0336,5
BUS_0013,2024-10-08,576,0.0269,1
BUS_0013,2024-10-15,574,0.0244,1
BUS_0013,2024-10-22,571,0.0298,1
BUS_0013,2024-10-29,570,0.0289,1
BUS_0013,2024-11-05,566,0.035,2
BUS_0013,2024-11-12,565,0.0172,2
BUS_0013,2024-11-19,559,0.0264,0
BUS_0013,2024-11-26,561,0.0352,3
BUS_0013,2024-12-03,557,0.0277,1
BUS_0013,2024-12-10,558,0.0267,2
BUS_0013,2024-12-17,553,0.0285,0
BUS_0013,2024-12-24,554,0.0258,1
BUS_0013,2024-12-31,557,0.0291,1
BUS_0013,2025-01-07,555,0.0317,1
BUS_0013,2025-01-14,554,0.0236,0
BUS_0013,2025-01-21,550,,0
BUS_0013,2025-01-28,548,0.0298,1
